Id,Age,math,science,malay
11920100,85,92,18,33
11920111,65,50,16,62
11920122,23,18,63,84
11920133,76,25,64,68
11920144,52,68,57,35
11920155,4,14,74,50
11920166,71,26,45,54
11920177,48,39,97,53
11920188,82,9,30,90
11920199,83,18,99,95
11920210,61,58,44,1
11920221,90,51,54,52
11920232,10,88,76,45
11920243,79,15,75,0
11920254,52,85,25,66
11920265,39,80,57,99
11920276,40,36,62,35
11920287,21,87,14,13
11920298,79,10,37,5
11920309,16,57,6,66
11920320,59,41,97,3
11920331,29,31,38,52
11920342,66,75,25,83
11920353,79,71,75,0
11920364,80,5,43,72
11920375,65,24,28,29
11920386,37,82,10,10
11920397,96,45,76,68
11920408,26,39,57,66
11920419,10,91,97,93
11920430,99,62,2,95
11920441,28,62,18,9
11920452,3,68,44,14
11920463,5,60,74,13
11920474,48,1,9,14
11920485,4,54,11,74
11920496,86,44,96,69
11920507,6,28,44,79
11920518,20,68,19,69
11920529,74,74,15,72
11920540,28,29,10,16
11920551,24,94,36,31
11920562,2,80,15,88
11920573,14,55,83,26
11920584,69,2,29,92
11920595,38,13,26,55
11920606,78,98,81,17
11920617,41,34,13,0
11920628,54,11,60,50
11920639,41,67,25,79
11920650,9,87,55,17
11920661,29,57,53,30
11920672,46,83,13,91
11920683,88,53,16,64
11920694,39,80,68,28
11920705,50,36,53,58
11920716,31,27,52,60
11920727,38,19,41,43
11920738,23,74,27,64
11920749,89,76,41,21
11920760,8,37,75,39
11920771,5,23,9,42
11920782,21,94,95,73
11920793,87,10,3,16
11920804,58,41,86,75
11920815,66,30,77,77
11920826,54,49,35,69
11920837,94,92,59,28
11920848,61,41,20,83
11920859,74,36,26,54
11920870,50,72,91,29
11920881,38,25,14,29
11920892,47,69,72,30
11920903,5,11,81,93
11920914,56,3,28,85
11920925,80,92,69,6
11920936,28,86,91,79
11920947,5,76,79,59
11920958,44,33,87,54
11920969,53,85,34,86
11920980,94,46,87,74
11920991,35,48,25,61
11921002,99,18,26,74
11921013,15,33,34,7
11921024,45,22,9,36
11921035,48,27,99,45
11921046,62,50,60,54
11921057,86,98,33,70
11921068,79,34,89,98
11921079,36,95,39,55
11921090,70,56,88,79
11921101,99,40,0,11
11921112,32,47,30,65
11921123,13,13,15,29
11921134,48,83,57,72
11921145,15,40,36,57
11921156,62,3,6,42
11921167,20,9,78,66
11921178,5,38,18,53
