Id,Age,math,science,malay
11920100,63,16,80,68
11920104,54,64,55,54
11920126,84,81,65,72
11920142,86,77,1,82
11920158,0,96,91,49
11920184,50,38,99,30
11920200,8,4,74,39
11920227,45,34,59,53
11920275,9,57,55,44
11920281,35,63,13,61
11920321,10,18,44,66
11920353,67,3,55,4
11920384,65,36,21,60
11920393,75,79,81,1
11920437,93,48,70,31
11920451,20,20,71,61
11920491,88,61,20,96
11920514,3,77,69,5
11920559,74,88,90,17
11920607,38,63,94,1
11920647,60,56,32,17
11920671,54,65,48,18
11920691,33,42,87,21
11920693,73,55,56,22
11920735,64,83,15,44
11920766,76,55,25,96
11920805,76,97,47,79
11920836,0,15,44,35
11920845,13,46,62,21
11920857,60,66,24,64
11920860,66,98,41,80
11920873,48,67,31,79
11920893,97,74,42,32
11920940,57,26,72,84
11920947,5,55,7,21
11920950,1,86,81,10
11920952,20,26,61,70
11920990,66,6,45,47
11921008,96,8,80,11
11921048,3,50,70,53
11921061,98,30,39,81
11921100,41,81,63,50
11921118,15,99,41,35
11921130,86,87,20,55
11921159,37,33,13,32
11921165,10,27,35,62
11921195,87,25,21,81
11921234,56,30,74,28
11921249,82,25,2,46
11921268,76,95,93,84
11921284,36,41,30,44
11921332,61,30,15,50
11921367,67,82,88,71
11921413,44,63,55,42
11921447,40,84,49,37
11921490,51,24,92,22
11921504,50,48,16,91
11921515,80,15,36,68
11921516,11,77,56,0
11921549,36,55,19,17
11921576,21,68,85,90
11921609,34,66,96,74
11921618,40,98,54,22
11921649,2,46,53,67
11921687,65,24,41,45
11921706,93,10,46,35
11921728,94,31,55,20
11921730,15,77,33,14
11921778,32,17,53,80
11921815,64,33,50,77
11921858,28,10,45,59
11921892,0,90,70,35
11921924,55,17,63,96
11921930,1,64,88,50
11921979,21,24,35,74
11922008,25,41,26,33
11922044,95,94,89,14
11922069,93,28,6,48
11922088,99,55,57,52
11922128,61,88,8,51
11922168,82,10,37,72
11922202,2,75,66,0
11922218,57,35,15,14
11922266,35,16,16,20
11922286,82,96,10,58
11922308,87,29,71,21
11922321,75,85,86,96
11922324,22,25,5,72
11922373,45,86,69,96
11922403,47,35,6,26
11922415,26,37,76,21
11922463,50,24,71,54
11922509,39,28,88,95
11922524,67,43,55,16
11922529,65,71,47,41
11922549,10,15,33,55
11922573,92,85,46,62
11922618,82,60,73,6
11922644,26,13,20,90
11922653,35,19,53,32
